HHID,TIME,PASTA,EXPOS,AGE,INCOME,AREA,UNK
1,1,1,0.939444279,1,61.7107579,25186.79877,3
2,1,2,2.560968639,2,61.7107579,25186.79877,3
3,1,3,0.901123323,0,61.7107579,25186.79877,3
4,1,4,1.916530012,1,61.7107579,25186.79877,3
5,1,5,1.548751036,0,61.7107579,25186.79877,3
6,1,6,2.16940497,0,61.7107579,25186.79877,3
7,1,7,2.804702416,0,61.7107579,25186.79877,3
8,1,8,2.28801347,0,61.7107579,25186.79877,3
9,1,9,2.263325581,0,61.7107579,25186.79877,3
10,1,10,1.357009615,1,61.7107579,25186.79877,3
11,1,11,1.880099374,1,61.7107579,25186.79877,3
12,1,12,2.305812752,0,61.7107579,25186.79877,3
13,1,13,1.104249637,0,61.7107579,25186.79877,3
14,1,14,1.718950535,1,61.7107579,25186.79877,3
15,1,15,1.405231047,0,61.7107579,25186.79877,3
16,1,16,3.547690545,0,61.7107579,25186.79877,3
17,1,17,3.01214303,0,61.7107579,25186.79877,3
18,1,18,1.867376744,1,61.7107579,25186.79877,3
19,1,19,3.763101821,0,61.7107579,25186.79877,3
20,1,20,3.17033324,1,61.7107579,25186.79877,3
21,2,1,1.316547721,0,42.18839297,23946.78543,3
22,2,2,0.998392511,2,42.18839297,23946.78543,3
23,2,3,2.409444473,1,42.18839297,23946.78543,3
24,2,4,2.496632692,0,42.18839297,23946.78543,3
25,2,5,1.754094598,1,42.18839297,23946.78543,3
26,2,6,1.660277194,0,42.18839297,23946.78543,3
27,2,7,3.671822507,1,42.18839297,23946.78543,3
28,2,8,1.766481204,1,42.18839297,23946.78543,3
29,2,9,2.792576235,1,42.18839297,23946.78543,3
30,2,10,0.803782595,0,42.18839297,23946.78543,3
31,2,11,2.28927734,1,42.18839297,23946.78543,3
32,2,12,2.683158483,1,42.18839297,23946.78543,3
33,2,13,1.733047183,1,42.18839297,23946.78543,3
34,2,14,2.6925944,0,42.18839297,23946.78543,3
35,2,15,2.319092159,1,42.18839297,23946.78543,3
36,2,16,4.053386211,3,42.18839297,23946.78543,3
37,2,17,2.535999706,0,42.18839297,23946.78543,3
38,2,18,1.989016856,0,42.18839297,23946.78543,3
39,2,19,4.063432571,0,42.18839297,23946.78543,3
40,2,20,2.326226047,1,42.18839297,23946.78543,3
41,3,1,0.697272229,0,45.91577844,13044.66387,4
42,3,2,3.653067656,1,45.91577844,13044.66387,4
43,3,3,1.853733712,1,45.91577844,13044.66387,4
44,3,4,1.667956803,0,45.91577844,13044.66387,4
45,3,5,2.221244131,1,45.91577844,13044.66387,4
46,3,6,0.993577335,2,45.91577844,13044.66387,4
47,3,7,0.94139099,0,45.91577844,13044.66387,4
48,3,8,0,0,45.91577844,13044.66387,4
49,3,9,0.267216974,0,45.91577844,13044.66387,4
50,3,10,2.424822167,0,45.91577844,13044.66387,4
51,3,11,3.06266482,0,45.91577844,13044.66387,4
52,3,12,0.192559407,0,45.91577844,13044.66387,4
53,3,13,2.763370861,0,45.91577844,13044.66387,4
54,3,14,1.562246598,1,45.91577844,13044.66387,4
55,3,15,3.899965314,1,45.91577844,13044.66387,4
56,3,16,3.063347784,1,45.91577844,13044.66387,4
57,3,17,1.222341896,0,45.91577844,13044.66387,4
58,3,18,1.105713768,1,45.91577844,13044.66387,4
59,3,19,4.046152703,1,45.91577844,13044.66387,4
60,3,20,1.868809417,0,45.91577844,13044.66387,4
61,4,1,3.513366024,0,45.98629919,31759.30701,1
62,4,2,0.874948718,0,45.98629919,31759.30701,1
63,4,3,3.053855053,2,45.98629919,31759.30701,1
64,4,4,1.233669773,0,45.98629919,31759.30701,1
65,4,5,1.083131527,0,45.98629919,31759.30701,1
66,4,6,0.62254877,0,45.98629919,31759.30701,1
67,4,7,1.491943325,0,45.98629919,31759.30701,1
68,4,8,2.384800096,1,45.98629919,31759.30701,1
69,4,9,2.923600967,0,45.98629919,31759.30701,1
70,4,10,1.172281722,1,45.98629919,31759.30701,1
71,4,11,4.737809207,1,45.98629919,31759.30701,1
72,4,12,2.325908412,1,45.98629919,31759.30701,1
73,4,13,3.993924206,3,45.98629919,31759.30701,1
74,4,14,1.37175217,0,45.98629919,31759.30701,1
75,4,15,2.736457817,2,45.98629919,31759.30701,1
76,4,16,2.134452239,0,45.98629919,31759.30701,1
77,4,17,1.054928935,0,45.98629919,31759.30701,1
78,4,18,1.743813694,0,45.98629919,31759.30701,1
79,4,19,0.637060017,0,45.98629919,31759.30701,1
80,4,20,0.033456133,0,45.98629919,31759.30701,1
81,5,1,3.177759422,1,59.46245885,39585.65577,5
82,5,2,0.598039817,1,59.46245885,39585.65577,5
83,5,3,3.225954188,2,59.46245885,39585.65577,5
84,5,4,0.086104942,0,59.46245885,39585.65577,5
85,5,5,0.158439934,0,59.46245885,39585.65577,5
86,5,6,2.802695394,1,59.46245885,39585.65577,5
87,5,7,1.581422254,0,59.46245885,39585.65577,5
88,5,8,1.456167575,0,59.46245885,39585.65577,5
89,5,9,3.64039672,2,59.46245885,39585.65577,5
90,5,10,0.989046394,0,59.46245885,39585.65577,5
91,5,11,4.631363341,1,59.46245885,39585.65577,5
92,5,12,1.016904422,0,59.46245885,39585.65577,5
93,5,13,1.36560249,0,59.46245885,39585.65577,5
94,5,14,1.115159631,0,59.46245885,39585.65577,5
95,5,15,3.28132528,0,59.46245885,39585.65577,5
96,5,16,1.770673475,1,59.46245885,39585.65577,5
97,5,17,2.397106532,1,59.46245885,39585.65577,5
98,5,18,1.040438678,1,59.46245885,39585.65577,5
99,5,19,3.672001977,1,59.46245885,39585.65577,5
100,5,20,3.312259047,0,59.46245885,39585.65577,5
101,6,1,1.713048907,1,32.36380478,37858.6389,4
102,6,2,2.227844427,0,32.36380478,37858.6389,4
103,6,3,1.016227648,0,32.36380478,37858.6389,4
104,6,4,1.692767555,0,32.36380478,37858.6389,4
105,6,5,1.132662405,0,32.36380478,37858.6389,4
106,6,6,2.287364633,0,32.36380478,37858.6389,4
107,6,7,1.865893848,0,32.36380478,37858.6389,4
108,6,8,4.570274023,0,32.36380478,37858.6389,4
109,6,9,1.681726465,2,32.36380478,37858.6389,4
110,6,10,1.046449906,1,32.36380478,37858.6389,4
111,6,11,0.171657402,1,32.36380478,37858.6389,4
112,6,12,1.646679836,0,32.36380478,37858.6389,4
113,6,13,1.545116293,0,32.36380478,37858.6389,4
114,6,14,1.244621769,0,32.36380478,37858.6389,4
115,6,15,2.003853104,0,32.36380478,37858.6389,4
116,6,16,1.797583346,0,32.36380478,37858.6389,4
117,6,17,0.195278231,1,32.36380478,37858.6389,4
118,6,18,2.636142926,1,32.36380478,37858.6389,4
119,6,19,1.07681574,0,32.36380478,37858.6389,4
120,6,20,0.727382394,0,32.36380478,37858.6389,4
121,7,1,2.430791299,1,30.77828339,77139.45315,1
122,7,2,0.393515039,0,30.77828339,77139.45315,1
123,7,3,1.615131325,0,30.77828339,77139.45315,1
124,7,4,1.963500101,1,30.77828339,77139.45315,1
125,7,5,3.314018853,1,30.77828339,77139.45315,1
126,7,6,1.926488434,0,30.77828339,77139.45315,1
127,7,7,2.985119692,1,30.77828339,77139.45315,1
128,7,8,2.328479143,0,30.77828339,77139.45315,1
129,7,9,0.143608815,0,30.77828339,77139.45315,1
130,7,10,2.679537722,1,30.77828339,77139.45315,1
131,7,11,1.85206756,0,30.77828339,77139.45315,1
132,7,12,0.427704307,0,30.77828339,77139.45315,1
133,7,13,2.170005434,1,30.77828339,77139.45315,1
134,7,14,1.087669815,0,30.77828339,77139.45315,1
135,7,15,3.069484097,0,30.77828339,77139.45315,1
136,7,16,4.810244744,3,30.77828339,77139.45315,1
137,7,17,3.572494694,1,30.77828339,77139.45315,1
138,7,18,3.21754092,1,30.77828339,77139.45315,1
139,7,19,2.468318796,0,30.77828339,77139.45315,1
140,7,20,2.819720813,0,30.77828339,77139.45315,1
141,8,1,0.90621015,1,36.27101087,30606.54857,3
142,8,2,0.303051055,0,36.27101087,30606.54857,3
143,8,3,2.550676186,0,36.27101087,30606.54857,3
144,8,4,1.673737976,0,36.27101087,30606.54857,3
145,8,5,1.961715378,0,36.27101087,30606.54857,3
146,8,6,1.436878248,2,36.27101087,30606.54857,3
147,8,7,0.273872732,1,36.27101087,30606.54857,3
148,8,8,2.220190145,0,36.27101087,30606.54857,3
149,8,9,1.084394199,1,36.27101087,30606.54857,3
150,8,10,0.514364597,0,36.27101087,30606.54857,3
151,8,11,1.764852372,0,36.27101087,30606.54857,3
152,8,12,2.14375747,0,36.27101087,30606.54857,3
153,8,13,1.697407225,0,36.27101087,30606.54857,3
154,8,14,2.997162963,2,36.27101087,30606.54857,3
155,8,15,0.798766076,0,36.27101087,30606.54857,3
156,8,16,0.835761916,0,36.27101087,30606.54857,3
157,8,17,2.409156008,0,36.27101087,30606.54857,3
158,8,18,2.314941421,0,36.27101087,30606.54857,3
159,8,19,1.881411497,1,36.27101087,30606.54857,3
160,8,20,0.787832855,0,36.27101087,30606.54857,3
161,9,1,4.479588414,1,36.35064505,18729.38958,5
162,9,2,2.03111483,0,36.35064505,18729.38958,5
163,9,3,3.640681582,0,36.35064505,18729.38958,5
164,9,4,0.254709298,1,36.35064505,18729.38958,5
165,9,5,2.336907964,0,36.35064505,18729.38958,5
166,9,6,3.066195837,0,36.35064505,18729.38958,5
167,9,7,2.172505714,0,36.35064505,18729.38958,5
168,9,8,1.684636845,1,36.35064505,18729.38958,5
169,9,9,1.635694282,0,36.35064505,18729.38958,5
170,9,10,1.585705381,1,36.35064505,18729.38958,5
171,9,11,2.302157287,0,36.35064505,18729.38958,5
172,9,12,2.67619498,0,36.35064505,18729.38958,5
173,9,13,4.320570856,0,36.35064505,18729.38958,5
174,9,14,0,0,36.35064505,18729.38958,5
175,9,15,1.680955621,0,36.35064505,18729.38958,5
176,9,16,1.383778327,0,36.35064505,18729.38958,5
177,9,17,2.63879814,0,36.35064505,18729.38958,5
178,9,18,2.212590495,0,36.35064505,18729.38958,5
179,9,19,2.817151311,0,36.35064505,18729.38958,5
180,9,20,3.03310402,0,36.35064505,18729.38958,5
181,10,1,1.690337599,0,64.1326413,28829.33253,2
182,10,2,0.504304831,0,64.1326413,28829.33253,2
183,10,3,1.992416595,2,64.1326413,28829.33253,2
184,10,4,3.1279402,1,64.1326413,28829.33253,2
185,10,5,2.01622081,0,64.1326413,28829.33253,2
186,10,6,2.385451931,0,64.1326413,28829.33253,2
187,10,7,0.663936516,1,64.1326413,28829.33253,2
188,10,8,1.189296147,0,64.1326413,28829.33253,2
189,10,9,1.321669994,1,64.1326413,28829.33253,2
190,10,10,0.580119444,1,64.1326413,28829.33253,2
191,10,11,2.389836611,1,64.1326413,28829.33253,2
192,10,12,1.075402462,0,64.1326413,28829.33253,2
193,10,13,1.581385737,0,64.1326413,28829.33253,2
194,10,14,2.805479957,2,64.1326413,28829.33253,2
195,10,15,2.173024443,0,64.1326413,28829.33253,2
196,10,16,0,0,64.1326413,28829.33253,2
197,10,17,1.016788963,1,64.1326413,28829.33253,2
198,10,18,2.893257476,1,64.1326413,28829.33253,2
199,10,19,1.874463513,1,64.1326413,28829.33253,2
200,10,20,3.963826512,2,64.1326413,28829.33253,2
201,11,1,2.689933569,2,58.59357106,24858.08615,5
202,11,2,3.438044898,1,58.59357106,24858.08615,5
203,11,3,2.540289923,0,58.59357106,24858.08615,5
204,11,4,2.555065116,2,58.59357106,24858.08615,5
205,11,5,1.026862135,0,58.59357106,24858.08615,5
206,11,6,2.196423893,1,58.59357106,24858.08615,5
207,11,7,0.547136538,0,58.59357106,24858.08615,5
208,11,8,1.253684153,3,58.59357106,24858.08615,5
209,11,9,2.822654283,1,58.59357106,24858.08615,5
210,11,10,2.332967615,0,58.59357106,24858.08615,5
211,11,11,2.586469103,1,58.59357106,24858.08615,5
212,11,12,0.691346804,3,58.59357106,24858.08615,5
213,11,13,2.914574717,2,58.59357106,24858.08615,5
214,11,14,2.200185377,1,58.59357106,24858.08615,5
215,11,15,1.484561933,1,58.59357106,24858.08615,5
216,11,16,4.010047204,0,58.59357106,24858.08615,5
217,11,17,0.929137608,0,58.59357106,24858.08615,5
218,11,18,0.811353831,1,58.59357106,24858.08615,5
219,11,19,0.490048615,0,58.59357106,24858.08615,5
220,11,20,0.806311162,1,58.59357106,24858.08615,5
221,12,1,1.333791249,0,64.22957273,25214.33137,1
222,12,2,1.013181964,1,64.22957273,25214.33137,1
223,12,3,2.174072595,0,64.22957273,25214.33137,1
